seed,fold,specialty,mode,empirical_probability,baseline_probability,outcome,empirical_brier,baseline_brier
401,1,COUNTERFACTUAL,AR,0.24,0.21900161030595813,0,0.0576,0.047961705316602744
401,1,UNCERTAINTY_CARTOGRAPHER,DIFFUSION,0.5,0.21900161030595813,1,0.25,0.6099584847046865
401,1,DECEPTION_ANALYST,AR,0.3076923076923077,0.21900161030595813,1,0.4792899408284023,0.6099584847046865
401,1,MODEL_KILLER,AR,0.20833333333333334,0.21900161030595813,0,0.04340277777777778,0.047961705316602744
401,1,UNCERTAINTY_CARTOGRAPHER,DIFFUSION,0.5,0.21900161030595813,1,0.25,0.6099584847046865
401,1,SHASE,AR,0.45161290322580644,0.21900161030595813,1,0.3007284079084287,0.6099584847046865
401,1,MEMORY_ANALYST,DIFFUSION,0.4074074074074074,0.21900161030595813,1,0.3511659807956104,0.6099584847046865
401,1,NOVELTY_FORGE,AR,0.13793103448275862,0.21900161030595813,1,0.7431629013079666,0.6099584847046865
401,1,ANOMALY_HUNTER,AR,0.07407407407407407,0.21900161030595813,0,0.0054869684499314125,0.047961705316602744
401,1,EVIDENCE_FORENSICS,AR,0.23529411764705882,0.21900161030595813,0,0.05536332179930796,0.047961705316602744
